wavelengths,power_meas,std_power_meas
420.0,1.7714147344e-07,7.138751341786863e-11
421.0,1.7696518438999996e-07,4.626484686581987e-11
422.0,1.7682231584999994e-07,4.0231378562103903e-11
423.0,1.7669572088000002e-07,4.280864970616892e-11
424.0,1.7657893862999997e-07,4.5716990211878636e-11
425.0,1.7644203120000004e-07,4.81355344364216e-11
426.0,1.7631692815e-07,4.6718401516826436e-11
427.0,1.7620387491e-07,4.568982981716773e-11
428.0,1.7609231150000003e-07,4.840670675216415e-11
429.0,1.7598596682e-07,4.6764951160111855e-11
430.0,1.7588980931999996e-07,4.1476428312692775e-11
431.0,1.7580272321e-07,4.541149891608745e-11
432.0,1.7572942393999997e-07,4.2268972889538535e-11
433.0,1.7565761591e-07,4.6050831357771926e-11
434.0,1.7561264537000001e-07,4.615101037608133e-11
435.0,1.7557437888000005e-07,4.508384710232097e-11
436.0,1.7555586818999998e-07,4.6052751048484956e-11
437.0,1.7553499705000002e-07,4.762661997840317e-11
438.0,1.7555313369e-07,4.5534686670205036e-11
439.0,1.7555363114000004e-07,4.874744632901554e-11
440.0,1.7555971846e-07,4.5003343191237266e-11
441.0,1.755882942e-07,4.919438938761185e-11
442.0,1.7564221048000002e-07,4.566458656037171e-11
443.0,1.7571078892e-07,4.6325163647995536e-11
444.0,1.7578967570999998e-07,4.4198707792263396e-11
445.0,1.7588993466999999e-07,4.970796171219841e-11
446.0,1.7599975617999998e-07,4.5882714840642787e-11
447.0,1.7613020327e-07,4.505135719395426e-11
448.0,1.7626674032e-07,4.6472067701123664e-11
449.0,1.7641035431999998e-07,4.742741931454502e-11
450.0,1.7657533561999998e-07,4.767857675031348e-11
451.0,1.7675460702999998e-07,4.6468664690834235e-11
452.0,1.769402125e-07,4.37361660330431e-11
453.0,1.7714992151e-07,4.5682475009240045e-11
454.0,1.7735950404000001e-07,4.585185849972175e-11
455.0,1.7758051699e-07,4.6541243945448766e-11
456.0,1.7783159577000003e-07,4.652120145521989e-11
457.0,1.7807906944999997e-07,4.358864666065332e-11
458.0,1.7834418488e-07,4.361987760695457e-11
459.0,1.7861899036000002e-07,4.4810438989935945e-11
460.0,1.7891181041e-07,4.19615069105228e-11
461.0,1.7919717685000001e-07,4.218515657417131e-11
462.0,1.7950739156000001e-07,4.185129072258848e-11
463.0,1.798204607e-07,4.230792606557111e-11
464.0,1.8013638823000004e-07,4.1238451263564793e-11
465.0,1.8046151043000002e-07,4.413841086134694e-11
466.0,1.8079346544000007e-07,4.0979978054731495e-11
467.0,1.8113722003000005e-07,4.558140790091145e-11
468.0,1.8149638404e-07,4.6423630003678693e-11
469.0,1.8184486207e-07,4.522787520484699e-11
470.0,1.8220861921000002e-07,4.688305683470139e-11
471.0,1.8256094872e-07,4.8271203552031494e-11
472.0,1.8292520467e-07,4.4968073423719656e-11
473.0,1.8327268576000005e-07,4.5045817818553815e-11
474.0,1.8362588316000003e-07,4.876922975129487e-11
475.0,1.8396728303e-07,4.679698822113599e-11
476.0,1.8431265367000002e-07,4.890488754859844e-11
477.0,1.8466374135000005e-07,5.007777324270124e-11
478.0,1.8499818158e-07,5.0415065958540125e-11
479.0,1.8533423532e-07,4.7322889647588934e-11
480.0,1.8566146726999997e-07,4.8203372684875847e-11
481.0,1.8598360797999995e-07,4.331541992246953e-11
482.0,1.8630164416999996e-07,4.700119152852474e-11
483.0,1.8660291470999998e-07,4.492405350306232e-11
484.0,1.8688827971999998e-07,4.357431622414187e-11
485.0,1.8716470273999998e-07,4.7363826431067854e-11
486.0,1.8742459850000005e-07,4.49020228687953e-11
487.0,1.8768847534999998e-07,5.098068810449134e-11
488.0,1.8794762673999996e-07,4.628554163983195e-11
489.0,1.8817572369e-07,4.640498225938427e-11
490.0,1.8839164059999997e-07,4.530833715642077e-11
491.0,1.886022196e-07,4.6992621051185e-11
492.0,1.8880037297e-07,4.491265068562541e-11
493.0,1.8897405005000002e-07,4.207547721021939e-11
494.0,1.8914015477e-07,4.646350801582866e-11
495.0,1.8930302412999996e-07,4.3921557598667835e-11
496.0,1.8945595631e-07,4.7303295418333996e-11
497.0,1.8958342223000002e-07,4.6929343349735054e-11
498.0,1.8971275216e-07,5.166818095534634e-11
499.0,1.8982617874000002e-07,4.531607121731203e-11
500.0,1.8991823491000005e-07,4.362126377148937e-11
501.0,1.9001053947000002e-07,5.0129306531100805e-11
502.0,1.9008831007999997e-07,4.862855987291567e-11
503.0,1.9015490079000003e-07,4.8672647198872005e-11
504.0,1.9021540264e-07,4.554474586811011e-11
505.0,1.9026012789999992e-07,4.588222753605047e-11
506.0,1.9029690075999998e-07,4.849613831886291e-11
507.0,1.903227406e-07,4.3534333144312377e-11
508.0,1.9034547627999998e-07,4.980796692379052e-11
509.0,1.9036995162999993e-07,4.762124875948731e-11
510.0,1.9037529347e-07,4.7821167795537934e-11
511.0,1.9036522933999999e-07,4.796959949076433e-11
512.0,1.9035578651999996e-07,4.3834725316231794e-11
513.0,1.9034870500999996e-07,4.7879884168718315e-11
514.0,1.9031031748000002e-07,5.1280406217086525e-11
515.0,1.9027801908999997e-07,4.538646719278437e-11
516.0,1.9023503121000002e-07,4.510087750461294e-11
517.0,1.9018645713e-07,4.9887822815525255e-11
518.0,1.9012980467999998e-07,4.4532727292155666e-11
519.0,1.9006135270000002e-07,4.8466924498775715e-11
520.0,1.9000072495e-07,4.521437462054941e-11
521.0,1.8992705530999997e-07,4.429685036877848e-11
522.0,1.8984878844999998e-07,4.6480874161824385e-11
523.0,1.8976120212000002e-07,4.563647150849328e-11
524.0,1.8966703077999998e-07,4.9652068425107164e-11
525.0,1.8956950781999998e-07,4.859878868313261e-11
526.0,1.8946726246999998e-07,4.656289814508309e-11
527.0,1.8935594824000002e-07,4.877227023957591e-11
528.0,1.8923705542999998e-07,4.722153138839516e-11
529.0,1.8911617478999995e-07,4.703253134359099e-11
530.0,1.8899989048000003e-07,4.6328596557089076e-11
531.0,1.8888895057999998e-07,4.226095751119974e-11
532.0,1.8875030552000003e-07,4.5153480118698123e-11
533.0,1.8860035572e-07,5.176220318149026e-11
534.0,1.8842207744999994e-07,4.4633523093383195e-11
535.0,1.8827970762999998e-07,4.9387811275586866e-11
536.0,1.8812018797999998e-07,5.068996932135338e-11
537.0,1.8795781442999996e-07,4.82719129105664e-11
538.0,1.8780339166e-07,5.038455690550773e-11
539.0,1.8762722459e-07,4.789862950484109e-11
540.0,1.8745913828e-07,4.920903931699523e-11
541.0,1.8728819111e-07,4.467595695021867e-11
542.0,1.8711587768999997e-07,3.9010639547614694e-11
543.0,1.8695027371000004e-07,4.578900978298299e-11
544.0,1.8677597141999994e-07,4.456550835908251e-11
545.0,1.8661024296999998e-07,4.773910333729768e-11
546.0,1.8645134627e-07,4.329047420503809e-11
547.0,1.8627754281999995e-07,4.58247521934102e-11
548.0,1.8610622578999998e-07,4.400804890296775e-11
549.0,1.8595180270999995e-07,5.0869339248766324e-11
550.0,1.8579352928e-07,4.69622997435336e-11
551.0,1.8564009898000002e-07,4.2865483479595803e-11
552.0,1.8548704354000004e-07,4.584914715704697e-11
553.0,1.8535808741999997e-07,4.605749903852744e-11
554.0,1.8522664754e-07,4.447315988557922e-11
555.0,1.8511645226999998e-07,4.348026604584387e-11
556.0,1.8500029417000003e-07,5.0823213737240714e-11
557.0,1.8489693122000003e-07,4.977190375755718e-11
558.0,1.8480176686000003e-07,4.491521172453955e-11
559.0,1.8472299925999997e-07,5.1926835503739646e-11
560.0,1.8464547956999996e-07,4.651156647872704e-11
561.0,1.8458609386e-07,4.7211400737116404e-11
562.0,1.8453242538999997e-07,4.634878293502171e-11
563.0,1.8450335402000002e-07,4.1717258305401305e-11
564.0,1.8447788675999997e-07,4.386309547629291e-11
565.0,1.8448012347e-07,4.793526862894352e-11
566.0,1.8448111544e-07,4.824629597644029e-11
567.0,1.8450981246999998e-07,4.4378729907120034e-11
568.0,1.8453553044999999e-07,4.767281907908667e-11
569.0,1.8459342493999997e-07,4.0929154543632796e-11
570.0,1.8465044793000002e-07,4.666401441844682e-11
571.0,1.8473591943999996e-07,4.7865578251041766e-11
572.0,1.8482884823999995e-07,4.748380875648359e-11
573.0,1.8493382496e-07,4.684367944235751e-11
574.0,1.8505557471e-07,4.091398763632896e-11
575.0,1.8519260485e-07,4.857793483452525e-11
576.0,1.8534628643999998e-07,4.722468401912915e-11
577.0,1.8549623516e-07,4.679605770569151e-11
578.0,1.8568370666000003e-07,4.7587745743671855e-11
579.0,1.8587875349e-07,4.865943408949437e-11
580.0,1.8607404841000002e-07,4.812605781281048e-11
581.0,1.8628027613999995e-07,5.298129127248988e-11
582.0,1.8648948795000004e-07,5.111649325283739e-11
583.0,1.8672354523999997e-07,4.792509721578406e-11
584.0,1.8695387556999999e-07,5.036167404391288e-11
585.0,1.8720072812999997e-07,5.157261712297597e-11
586.0,1.8744634175e-07,5.123851879189656e-11
587.0,1.8771717271999998e-07,4.457711540041104e-11
588.0,1.8797831027000004e-07,4.598570243061857e-11
589.0,1.8825808986999995e-07,4.9299433618785656e-11
590.0,1.8853786293000003e-07,4.9495576255308775e-11
591.0,1.8882323301000007e-07,4.926393829597617e-11
592.0,1.8908871997000005e-07,4.7835725376011246e-11
593.0,1.8937619903999996e-07,4.689300384831683e-11
594.0,1.8968467414e-07,4.6480363503315796e-11
595.0,1.8996507049000002e-07,4.936270487169449e-11
596.0,1.9027752169e-07,4.966137971657438e-11
597.0,1.9057916267e-07,4.621274638172236e-11
598.0,1.9086962004e-07,4.720498467045879e-11
599.0,1.9119673059000002e-07,4.664650382120966e-11
600.0,1.9151129439999996e-07,4.5385057956114296e-11
601.0,1.9181330689000001e-07,5.235387267144503e-11
602.0,1.9212028827999996e-07,5.624518167453533e-11
603.0,1.9244081406999998e-07,4.844951423993045e-11
604.0,1.9276469454000004e-07,4.628484557269536e-11
605.0,1.9308720661e-07,4.6595526049588794e-11
606.0,1.9339667601000008e-07,4.9800262837155714e-11
607.0,1.9370924923000005e-07,5.208139831223088e-11
608.0,1.9400467409999995e-07,4.9728076729447847e-11
609.0,1.9431836811e-07,5.1560223416096884e-11
610.0,1.9463069257e-07,4.9036201743457524e-11
611.0,1.9495457125999996e-07,4.495404835710233e-11
612.0,1.9528913491e-07,4.574848418168542e-11
613.0,1.9561288969e-07,4.6946982963485844e-11
614.0,1.9593018455e-07,4.6450886332423596e-11
615.0,1.9627704723999997e-07,5.0827341107933296e-11
616.0,1.9659309916999994e-07,5.206414929643197e-11
617.0,1.9692356266e-07,5.0571137133986945e-11
618.0,1.9726856152e-07,4.491981455448761e-11
619.0,1.9760809354999996e-07,5.001588024805212e-11
620.0,1.9793781152000002e-07,5.149326885205264e-11
621.0,1.9828840146000002e-07,5.388320395734239e-11
622.0,1.9862905272000003e-07,4.8483664367717615e-11
623.0,1.9897007794999997e-07,5.3178835213150495e-11
624.0,1.9930439179e-07,5.003328628968667e-11
625.0,1.9964740348999998e-07,4.6010464935599816e-11
626.0,1.9997811707000004e-07,4.5877163146657344e-11
627.0,2.0032522688000004e-07,4.8374568890541255e-11
628.0,2.0068016453000006e-07,5.0848303793628526e-11
629.0,2.010409415e-07,4.3733303424162535e-11
630.0,2.0139761772000003e-07,4.60011023259399e-11
631.0,2.0177044033e-07,4.6100893366629356e-11
632.0,2.0213606492000002e-07,4.473396762387077e-11
633.0,2.0250678089000001e-07,4.437343841689341e-11
634.0,2.0287451412e-07,4.7589160976902604e-11
635.0,2.0325342975e-07,4.623809600997239e-11
636.0,2.0363470638000005e-07,4.53527100259222e-11
637.0,2.0401150639e-07,4.868672152546103e-11
638.0,2.0437775191e-07,4.8615738731834235e-11
639.0,2.0475666503999998e-07,5.0453917996906045e-11
640.0,2.0512737875000006e-07,4.7054368425975865e-11
641.0,2.0549635815000004e-07,4.859886390799337e-11
642.0,2.0587179329e-07,4.962122178912854e-11
643.0,2.0624896881999997e-07,4.784050652080957e-11
644.0,2.0659943577e-07,4.8401928661542726e-11
645.0,2.0696580408999998e-07,4.464632933558841e-11
646.0,2.0731515089000006e-07,4.5602934476390605e-11
647.0,2.0765990199999996e-07,4.6228487037108974e-11
648.0,2.0801247609e-07,4.5539124631267496e-11
649.0,2.0837300546e-07,4.759692719397267e-11
650.0,2.0871589321000004e-07,4.976454743495513e-11
651.0,2.0905132763000003e-07,5.1053336907521034e-11
652.0,2.0937532612000003e-07,5.204575420382993e-11
653.0,2.0970417476000005e-07,4.81124306492855e-11
654.0,2.1001960706e-07,4.3376121230191556e-11
655.0,2.1033690247e-07,4.5913813889601824e-11
656.0,2.1064363744000002e-07,4.104578474346112e-11
657.0,2.109513641e-07,4.663322885764893e-11
658.0,2.1124927967e-07,4.7615460131992495e-11
659.0,2.1153526625999995e-07,4.6963006319574905e-11
660.0,2.1184473467e-07,4.413574311486186e-11
661.0,2.1211991558000002e-07,4.982759859418731e-11
662.0,2.1240354052e-07,4.733704930801704e-11
663.0,2.1267872210999998e-07,5.1863267883906605e-11
664.0,2.1294681750999997e-07,4.9732432727244025e-11
665.0,2.1320199726e-07,4.517720833199225e-11
666.0,2.1346736138999996e-07,4.568119199383821e-11
667.0,2.1372253773000002e-07,4.4702034133773196e-11
668.0,2.1398007626000002e-07,4.799549266329678e-11
669.0,2.1420991262999998e-07,5.07784426219744e-11
670.0,2.1448347639999996e-07,4.713390289038438e-11
671.0,2.1474088702999997e-07,4.796970107629419e-11
672.0,2.1498525718e-07,4.608410062600687e-11
673.0,2.1524354169000002e-07,4.936639470362479e-11
674.0,2.1549834652e-07,5.029628266989227e-11
675.0,2.1575178477e-07,5.165934688066725e-11
676.0,2.1601516335000002e-07,4.8483490319977994e-11
677.0,2.1626276384999997e-07,5.063075087955803e-11
678.0,2.1652973862e-07,5.023452330136726e-11
679.0,2.1680492104e-07,4.544501679170388e-11
680.0,2.1709314009e-07,5.328024767774707e-11
681.0,2.1737068059e-07,4.926498805847826e-11
682.0,2.1767269368000005e-07,4.477513845693198e-11
683.0,2.1796899397000001e-07,4.696969977260816e-11
684.0,2.1832542035000003e-07,4.858860550198593e-11
685.0,2.1862582139000002e-07,5.2064169711211346e-11
686.0,2.1895504376e-07,4.8613104542111163e-11
687.0,2.1930140943000002e-07,5.073175128028829e-11
688.0,2.1965584776000001e-07,4.6794433805340085e-11
689.0,2.2003787051000005e-07,5.01413877421616e-11
690.0,2.2039516794999997e-07,4.62913021042561e-11
691.0,2.207797973e-07,4.736581510277085e-11
692.0,2.2117138479999997e-07,4.4724607185752924e-11
693.0,2.2157787970000003e-07,4.9849708785408684e-11
694.0,2.2199021450000003e-07,4.4077528655200786e-11
695.0,2.2243733425e-07,4.475750067829327e-11
696.0,2.2289389648000002e-07,4.702341398590112e-11
697.0,2.2336958868e-07,5.196230805860807e-11
698.0,2.2385199232999994e-07,4.8118582671367205e-11
699.0,2.2433911425000003e-07,5.044198730926068e-11
700.0,2.2484188746999993e-07,4.4277663517276016e-11
701.0,2.2537497951999998e-07,4.751961436533022e-11
702.0,2.2588421624999998e-07,4.8674992141832153e-11
703.0,2.2644414095999998e-07,4.5283296584263465e-11
704.0,2.2701139508000004e-07,5.011471996563032e-11
705.0,2.2754870885999998e-07,4.7938409602950506e-11
706.0,2.2813236398999997e-07,4.695879824707739e-11
707.0,2.2871228914999999e-07,4.401768392756944e-11
708.0,2.2925643776e-07,5.168045469984165e-11
709.0,2.2988903769999997e-07,6.298985143457583e-11
710.0,2.3050896829e-07,5.604040437564638e-11
711.0,2.3111585136999998e-07,4.6452290075656894e-11
712.0,2.3173329674000003e-07,4.8514981857900545e-11
713.0,2.3232477396999998e-07,5.046655786923555e-11
714.0,2.3294284127000004e-07,4.891826990089691e-11
715.0,2.3355345378000003e-07,4.9090426408940746e-11
716.0,2.3416294908000002e-07,4.7718872121351654e-11
717.0,2.3475169429000003e-07,4.832752023480871e-11
718.0,2.35355349e-07,4.79661385604452e-11
719.0,2.3593440688000002e-07,4.7905348790564883e-11
720.0,2.3654924315000002e-07,5.186431656069045e-11
721.0,2.3713302274999999e-07,5.012199927304872e-11
722.0,2.3775493981e-07,4.849856710928519e-11
723.0,2.3836492881000004e-07,4.870514491913437e-11
724.0,2.3893354959e-07,5.054572365693248e-11
725.0,2.3949918998e-07,4.628508515449671e-11
726.0,2.4005811667000003e-07,5.094802020196732e-11
727.0,2.4060313421e-07,4.703329086515242e-11
728.0,2.4115982965e-07,4.818747326897826e-11
729.0,2.416793788e-07,4.468639755966984e-11
730.0,2.4219992073000006e-07,4.7152380574661976e-11
