wavelengths,power_meas,std_power_meas
420.0,5.9380189150000016e-08,6.659400743688844e-11
421.0,5.929483947600001e-08,6.716218692028093e-11
422.0,5.9226387069e-08,6.933856791414072e-11
423.0,5.9158927710000004e-08,6.208851283763736e-11
424.0,5.9097431088000005e-08,6.509898292053396e-11
425.0,5.903928965e-08,6.716676477311229e-11
426.0,5.8982265621e-08,6.553568274126471e-11
427.0,5.8933814558000004e-08,6.60048153780191e-11
428.0,5.888859319999999e-08,6.473287307939887e-11
429.0,5.8856913235e-08,6.597106399143725e-11
430.0,5.8832066404999984e-08,6.181498834078349e-11
431.0,5.8813928524e-08,6.386834187889759e-11
432.0,5.8807592898e-08,6.864460822660748e-11
433.0,5.8811195630999996e-08,6.481910914590693e-11
434.0,5.8813307366999994e-08,6.644784073989656e-11
435.0,5.8841010864e-08,6.493238494126483e-11
436.0,5.8871199828e-08,6.251063439449999e-11
437.0,5.8919155491000005e-08,6.185410026290217e-11
438.0,5.8974811890000003e-08,6.588791714683442e-11
439.0,5.903804733299999e-08,6.145303882602334e-11
440.0,5.912339659399999e-08,6.72728335796752e-11
441.0,5.92099876e-08,6.687440094378586e-11
442.0,5.9316829494999996e-08,6.522038044405593e-11
443.0,5.9425285883000004e-08,6.286574295758566e-11
444.0,5.9548402336e-08,6.652699239588794e-11
445.0,5.968990507900001e-08,6.350578761517796e-11
446.0,5.984246527200001e-08,6.157499267401462e-11
447.0,6.0006951091e-08,6.544332606628604e-11
448.0,6.0184607519e-08,6.979322147039981e-11
449.0,6.037481014600001e-08,6.96155854798522e-11
450.0,6.0584020933e-08,6.144249650827623e-11
451.0,6.0803170492e-08,6.485905043752992e-11
452.0,6.103362523099999e-08,6.809333801049787e-11
453.0,6.128557302900002e-08,6.352645017954816e-11
454.0,6.1543606339e-08,6.430475926566708e-11
455.0,6.180611293700001e-08,6.403494756479876e-11
456.0,6.209172837e-08,6.301074838021714e-11
457.0,6.240007862799999e-08,6.442777106281516e-11
458.0,6.271811884e-08,6.757018463435828e-11
459.0,6.3044358286e-08,6.583216603407519e-11
460.0,6.338973022800001e-08,6.50634990564658e-11
461.0,6.3745786033e-08,6.6404583174736e-11
462.0,6.412370681600001e-08,6.645058502818863e-11
463.0,6.451939357199999e-08,6.418008334402644e-11
464.0,6.491334161600001e-08,6.049133617414901e-11
465.0,6.5317722148e-08,6.686765986428758e-11
466.0,6.5750679432e-08,6.361595337999997e-11
467.0,6.618015888300002e-08,6.379074178816689e-11
468.0,6.6623427696e-08,6.283088176985241e-11
469.0,6.7085206728e-08,6.845472817609404e-11
470.0,6.754624138299999e-08,6.12132166843001e-11
471.0,6.8011746502e-08,6.315234883247924e-11
472.0,6.847837142000001e-08,6.686029151934364e-11
473.0,6.896387957899999e-08,6.350445445869687e-11
474.0,6.944814430699999e-08,6.803381860855656e-11
475.0,6.993091858100002e-08,6.857107351351081e-11
476.0,7.0424999737e-08,6.703789494790441e-11
477.0,7.0920447117e-08,6.593835280826613e-11
478.0,7.139924605e-08,6.830517334918021e-11
479.0,7.1887860153e-08,6.055825720454523e-11
480.0,7.2358460275e-08,6.783331734730272e-11
481.0,7.283887386e-08,6.043033208491458e-11
482.0,7.3301769568e-08,6.214288686025811e-11
483.0,7.376056871e-08,6.829532305345491e-11
484.0,7.4200979728e-08,6.291604363048407e-11
485.0,7.463766380200001e-08,6.562079940669192e-11
486.0,7.506428516799999e-08,6.301579365286343e-11
487.0,7.5473388958e-08,6.661247609595423e-11
488.0,7.5862739669e-08,6.65243512929197e-11
489.0,7.6247120988e-08,6.642527292446686e-11
490.0,7.661087963699999e-08,6.718848525109123e-11
491.0,7.6952522648e-08,6.607679451925317e-11
492.0,7.726869895500001e-08,6.627682912270455e-11
493.0,7.7571086911e-08,7.040639753833726e-11
494.0,7.785732279699999e-08,6.175585115152446e-11
495.0,7.812927123100001e-08,6.40827473343324e-11
496.0,7.8375628475e-08,6.844527358413973e-11
497.0,7.860024367400001e-08,6.701108303405634e-11
498.0,7.8802870578e-08,6.762425203003108e-11
499.0,7.898015312000003e-08,6.180819416716566e-11
500.0,7.913258997100001e-08,6.537379227181671e-11
501.0,7.926787973000001e-08,6.458931105455625e-11
502.0,7.938416317099999e-08,6.331391865348257e-11
503.0,7.947609630800001e-08,6.386171498100227e-11
504.0,7.955324675800001e-08,6.696371696266116e-11
505.0,7.9600207804e-08,6.807631503469178e-11
506.0,7.963188665e-08,6.901455577249148e-11
507.0,7.9645428742e-08,6.679462539833039e-11
508.0,7.963213534500001e-08,6.389493660620867e-11
509.0,7.9614866587e-08,7.038813202595816e-11
510.0,7.957846633200001e-08,7.0156887067973e-11
511.0,7.951597624100001e-08,6.79472003943686e-11
512.0,7.943994475000001e-08,6.577152320171762e-11
513.0,7.9345402635e-08,6.507852763001311e-11
514.0,7.9239803767e-08,6.746564654914964e-11
